simID	famID	id1	id2	degree	error_type	phi_IBIS	phi_TRUFFLE	phi_IBDseq	phi_clusIBD
sim7801	def9	D	S	0	0.01	0.000763472722708827	NA	NA	NA
sim7801	def9	D	S	0	0.05	NA	NA	NA	NA
sim7801	def9	D	S	0	0.1	NA	NA	NA	NA
sim7801	def9	D	S	0	0.2	NA	NA	NA	NA
sim7801	def9	D	T	3	0	0.0516996608033461	0.0530380025103886	0.0520838106791864	0.0526044947801892
sim7801	def9	D	T	3	0.005	0.0520087037482866	0.0528705031371432	0.0513731098135671	0.0523798281244841
sim7801	def9	D	T	3	0.01	0.0491806388235353	0.0502895935090571	0.0478674476459576	0.0523040264933213
sim7801	def9	D	T	3	0.05	0.0044488487584109	0.00129993550092844	0.00325415739411625	0.051014510367168
sim7801	def9	D	T	3	0.1	0.00189640907279933	NA	0.000449559666609539	0.0383755801513729
sim7801	def9	D	T	3	0.2	NA	NA	NA	0.0396616552615697
sim7801	def9	D	U	4	0	0.0226859533804355	0.0194248720882489	0.0202200944717659	0.020238910443156
sim7801	def9	D	U	4	0.005	0.0226859533804355	0.0190353517919832	0.0190225717565743	0.020238910443156
sim7801	def9	D	U	4	0.01	0.0189600961580513	0.0147700068312193	0.0155901215116577	0.0201264879977153
sim7801	def9	D	U	4	0.05	0.00196330928139963	0.000962826074718809	0.00103496919436893	0.0199180079102543
sim7801	def9	D	U	4	0.1	NA	NA	NA	0.0149297270902415
sim7801	def9	D	U	4	0.2	NA	NA	NA	0.0147069193961556
sim7801	def9	F	S	0	0	0.0061398468284071	0.000507848649393854	NA	NA
sim7801	def9	F	S	0	0.005	0.00547179533001081	0.000497312622649058	NA	NA
sim7801	def9	F	S	0	0.01	0.00520940023090141	0.000504704344627476	NA	NA
sim7801	def9	F	S	0	0.05	0.000619053067604142	NA	NA	NA
sim7801	def9	F	S	0	0.1	NA	NA	NA	NA
sim7801	def9	F	S	0	0.2	NA	NA	NA	NA
sim7801	def9	O	Q	5	0	0.0121939107689216	0.0125013996282025	0.0128328173416295	0.0132158907708132
sim7801	def9	O	Q	5	0.005	0.0114876630032129	0.0123366363212593	0.0118989170467171	0.0131719954076821
sim7801	def9	O	Q	5	0.01	0.011841175885208	0.0118182082154968	0.0117899304925374	0.0124934520070388
sim7801	def9	O	Q	5	0.05	0.00172786886518888	0.00121433571232995	0.00107348710147555	0.0127123769190346
sim7801	def9	O	Q	5	0.1	0.000652316250803263	NA	NA	0.00872338455675062
sim7801	def9	O	Q	5	0.2	NA	NA	NA	0.00663925084802204
sim7801	def9	O	T	1	0	0.241289703742128	0.242320902029118	0.241276219973095	0.240988133993141
sim7801	def9	O	T	1	0.005	0.240306469826587	0.242219163792299	0.240495115604838	0.240988133993141
sim7801	def9	O	T	1	0.01	0.234951324815898	0.235973705933796	0.240094917788113	0.236819671489813
sim7801	def9	O	T	1	0.05	0.0277656969014066	0.00266056824414265	0.0254674863295922	0.237334209777886
sim7801	def9	O	T	1	0.1	NA	NA	0.0049191489367616	0.202904807067848
sim7801	def9	O	T	1	0.2	NA	NA	NA	0.194937511850316
sim7801	def9	O	U	6	0	0.00088412916425274	0.000950153310480839	0.000915299995034257	0.000948581244956898
